rooms,area,living_area,kitchen_area,floor,total_floors,price_usd,price_per_m2,house_type,ceiling_height,condition,parking,furniture,district,latitude,longitude,null_counts,has_window_grills,security_high,bathroom_count,bathroom_type,balcony_type,wooden_floor,floor_relative,living_ratio,kitchen_ratio,building_age,building_stage
3,89.3,63.67019557391031,11.8,4.0,5.0,88424,990,brick,2.8,unknown,private_parking,fully_furnished,Yesil,51.059035,71.420952,3,0,0,2,multiple,multiple,0,0.8,0.7129921116899252,0.13213885778275478,12,0
2,72.1,51.4067312528436,14.729211062911551,-1.0,-1.0,56984,790,monolithic,2.7,good,no_parking,fully_furnished,Saryarka,51.189164,71.356273,5,0,1,2,multiple,loggia,0,1.0,0.7129921116899252,0.2042886416492587,28,0
4,106.77,76.1261677651333,11.13,8.0,9.0,149338,1398,monolithic,3.0,unknown,private_parking,unknown,Nura,51.114483931053,71.393404894695,7,0,0,2,unknown,unknown,0,0.8888888888888888,0.7129921116899252,0.10424276482157911,3,0
2,39.0,27.80669235590708,7.967257024321089,2.0,2.0,27509,705,brick,2.7,unknown,private_parking,unknown,Nura,51.121439197443,71.283094882965,4,0,1,1,combined,loggia,0,1.0,0.7129921116899252,0.2042886416492587,5,0
2,39.0,27.80669235590708,7.967257024321089,1.0,8.0,45587,1168,brick,2.7,unknown,no_parking,unknown,Saryshyk,51.122232,71.500695,9,0,0,1,unknown,unknown,0,0.125,0.7129921116899252,0.2042886416492587,4,0
4,109.0,77.71614017420184,12.0,7.0,9.0,108074,991,brick,3.0,unknown,private_parking,unknown,Saryarka,51.172396256993,71.402581013708,4,0,0,2,multiple,multiple,0,0.7777777777777778,0.7129921116899252,0.11009174311926606,1,0
2,66.0,47.05747937153506,13.483050348851075,11.0,12.0,74472,1128,monolithic,3.0,unknown,private_parking,unknown,Nura,51.131434316719,71.358380589066,8,0,0,1,unknown,unknown,0,0.9166666666666666,0.7129921116899252,0.2042886416492587,1,0
2,54.0,38.501574031255956,9.0,11.0,22.0,85476,1582,monolithic,3.0,rough,private_parking,unknown,Yesil,51.101627810333,71.451746913561,6,0,0,1,unknown,unknown,0,0.5,0.7129921116899252,0.16666666666666666,1,0
1,35.3,25.168621542654357,7.211389050218831,6.0,12.0,30457,862,monolithic,2.7,new,no_parking,fully_furnished,Saryarka,51.180723,71.437068,5,0,0,1,combined,balcony,0,0.5,0.7129921116899252,0.2042886416492587,16,0
1,44.0,31.37165291435671,6.0,10.0,12.0,35369,803,monolithic,2.7,good,private_parking,fully_furnished,Almaty,51.160791162777,71.500162302103,3,0,0,1,unknown,loggia,0,0.8333333333333334,0.7129921116899252,0.13636363636363635,11,0
4,114.0,81.28110073265147,12.5,17.0,18.0,183726,1611,monolithic,3.0,unknown,private_parking,unknown,Nura,51.129875301642,71.402040829886,6,0,1,2,unknown,unknown,0,0.9444444444444444,0.7129921116899252,0.10964912280701754,1,0
2,48.0,34.22362136111641,6.0,4.0,5.0,50107,1043,brick,2.7,unknown,no_parking,fully_furnished,Saryarka,51.167543,71.42627,4,0,0,1,unknown,balcony,0,0.8,0.7129921116899252,0.125,50,0
3,85.0,60.60432949364364,11.0,10.0,12.0,147373,1733,monolithic,3.0,new,private_parking,fully_furnished,Almaty,51.115678443791,71.521672158158,1,0,0,2,multiple,balcony,0,0.8333333333333334,0.7129921116899252,0.12941176470588237,1,0
